"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC343",1.97163037740789,0.136226464325277,88.5613540561968
"PC344",1.96491540559278,0.135762504711498,88.6975805205221
"PC345",1.95855074582736,0.135322749315958,88.8333430252335
"PC346",1.95115751738934,0.134811926708637,88.9686657745495
"PC347",1.94688151825773,0.134516483784937,89.1034777012581
"PC348",1.94005411688166,0.134044756040909,89.2379941850431
"PC349",1.93737520401871,0.133859661090184,89.372038941084
"PC350",1.93020770887185,0.133364435142606,89.5058986021742
"PC351",1.92245065770928,0.132828474819831,89.6392630373168
"PC352",1.91664399774051,0.132427273475934,89.7720915121366
"PC353",1.91418730883178,0.132257532713254,89.9045187856125
"PC354",1.9088189918238,0.131886617934422,90.0367763183258
"PC355",1.90004706260453,0.131280536329805,90.1686629362602
"PC356",1.89222439581701,0.130740042406466,90.29994347259
"PC357",1.89086749883291,0.130646289905635,90.4306835149965
"PC358",1.88205301241973,0.130037267883724,90.5613298049021
"PC359",1.87608494763579,0.129624914547268,90.6913670727859
"PC360",1.87397461769398,0.129479104871263,90.8209919873331
"PC361",1.8698665835485,0.129195267204031,90.9504710922044
"PC362",1.86303685769628,0.128723378854257,91.0796663594084
"PC363",1.85296370137923,0.128027391165393,91.2083897382627
"PC364",1.84417609204592,0.12742022616983,91.3364171294281
"PC365",1.83681196382188,0.126911414192548,91.4638373555979
"PC366",1.82599768891685,0.126164220169047,91.5907487697904
"PC367",1.8184948555822,0.125645824596878,91.7169129899595
"PC368",1.81239657701579,0.125224474359485,91.8425588145564
"PC369",1.81034157012233,0.125082487135881,91.9677832889158
"PC370",1.80397981318328,0.124642932306216,92.0928657760517
"PC371",1.80283250647126,0.124563661090543,92.2175087083579
"PC372",1.79090907334146,0.123739831656536,92.3420723694485
"PC373",1.78401131721243,0.123263242869914,92.465812201105
"PC374",1.77937737509386,0.122943068481279,92.5890754439749
"PC375",1.77134820948112,0.122388306871071,92.7120185124562
"PC376",1.76445498667495,0.12191203130672,92.8344068193273
"PC377",1.75991847587423,0.121598588770109,92.956318850634
"PC378",1.75686385577346,0.121387534963598,93.0779174394041
"PC379",1.75295678541525,0.121117582549155,93.1993049743677
"PC380",1.74092997657245,0.120286610545202,93.3204225569169
"PC381",1.73568339557609,0.119924106910079,93.4407091674621
"PC382",1.73274201136276,0.11972087694558,93.5606332743722
"PC383",1.73132186094572,0.119622754055844,93.6803541513177
"PC384",1.72419076765109,0.119130043232642,93.7999769053736
"PC385",1.71687331151482,0.118624455984281,93.9191069486062
"PC386",1.70968368255087,0.118127700738068,94.0377314045905
"PC387",1.70328897489609,0.117685869234463,94.1558591053286
"PC388",1.69836351669351,0.117345553035337,94.273544974563
"PC389",1.69580455236614,0.117168745725689,94.3908905275984
"PC390",1.687483946883,0.116593847570841,94.5080592733241
"PC391",1.68230301782885,0.116235880045561,94.6246531208949
"PC392",1.67403380581669,0.115664532835617,94.7408890009405
"PC393",1.66033066928513,0.114717737806867,94.8565535337761
"PC394",1.65833009480217,0.114579511498551,94.9712712715829
"PC395",1.64916017405352,0.113945931342734,95.0858507830815
"PC396",1.64249644659938,0.113485512371356,95.1997967144242
"PC397",1.63957080436681,0.113283370072379,95.3132822267956
"PC398",1.63307853284822,0.112834797558711,95.426565596868
"PC399",1.62411936224629,0.112215778827628,95.5394003944267
"PC400",1.61875757852099,0.111845315454906,95.6516161732543
"PC401",1.60662886009523,0.11100730218078,95.7634614887092
"PC402",1.59872544987582,0.110461229426658,95.87446879089
"PC403",1.59058981042664,0.109899111186907,95.9849300203166
"PC404",1.58870516559217,0.109768894841465,96.0948291315035
"PC405",1.57670745799865,0.108939933539082,96.204598026345
"PC406",1.56384407132993,0.108051159605992,96.3135379598841
"PC407",1.55668731835423,0.107556675870551,96.4215891194901
"PC408",1.54990115917008,0.10708779768598,96.5291457953606
"PC409",1.54733045012702,0.106910178895075,96.6362335930466
"PC410",1.52783580464669,0.105563229356516,96.7431437719417
"PC411",1.52297681496065,0.105227505687056,96.8487070012982
"PC412",1.5167372207282,0.104796391482867,96.9539345069853
"PC413",1.50640744407865,0.104082673046408,97.0587308984681
"PC414",1.4961746258181,0.103375653785754,97.1628135715145
"PC415",1.48926482149661,0.102898232549664,97.2661892253003
"PC416",1.46656147039532,0.101329582926335,97.36908745785
"PC417",1.46167697781655,0.10099209717766,97.4704170407763
"PC418",1.4503843728005,0.100211853744618,97.5714091379539
"PC419",1.44456529056713,0.0998097941053712,97.6716209916986
"PC420",1.43459105152011,0.0991206409378809,97.7714307858039
"PC421",1.41826084496303,0.0979923329515242,97.8705514267418
"PC422",1.40591112129376,0.0971390496941059,97.9685437596933
"PC423",1.3888625737253,0.0959611091512212,98.0656828093875
"PC424",1.38406979864349,0.0956299604677848,98.1616439185387
"PC425",1.37292363287653,0.0948598350068388,98.2572738790065
"PC426",1.37142926868141,0.0947565844416985,98.3521337140133
"PC427",1.35063138473863,0.0933195898470535,98.446890298455
"PC428",1.32993231611026,0.0918894227293329,98.5402098883021
"PC429",1.31242736991934,0.0906799480959947,98.6320993110314
